Unknown,1
Hardback/Cloth,2
Trade Paper,3
Mass Market Paperback,4
Board Book,5
Paper Over Board,6
Calendar-Wall,7
Calendar-Desk,8
Map-Wall,9
Map-Folded,10
Spiral Bound,11
Catalog,12
Display-Filled,13
Display-Empty,14
Pack,15
Boxed Set,16
Slip Case,17
Deck,18
DVD,19
CD,20
Poster-Wall,21
Laminated Card,22
Globe,23
Action Figure,24
Sticker Book,25
Game/Board Game,26
Large Print Paperback,27
Large Print Hardback,28
Greeting Card,29
Journal,30
Sketchbook - Mixed Assortment,31
Pen/Pencil Loop,32
Address Book,33
Sketchbook - Soft Cover,34
Sketchbook-General,35
Sketchbook - Hardcover,36
Sketchbook - Wirebound,37
Kit,38
Toy,39
Puzzle,40
Planner,41
Paper & CD,42
Hardback & CD,43
Hardback & DVD,44
Bag,45
Writing Set,46
Calendar - Other,47
Wirebound,48
Board Game,49
Comics - Single Issue,50
Notecards,51
Baby Board Books,52
Thick Soft Cover,53
Bath Book,54
Big Book,55
Bundle,56
Card Game,57
Doll,58
Plush Toy,59
Puppet,60
Board Book (Soft),61
Playing Cards,62
Tarot Cards,63
Mixed Media,64
Novelty Book,65
E-Pub,66
Pamphlet,67
Inflatable Toy,68
3-D Model,69
Counter Pack,70
Notebook-General,71
Paper Placemat,72
Post Cards,73
Stationary,74
Galley,75
